O*NET-SOC Code,Element ID,Element Name,Scale ID,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
11-1011.00,4.A.1.a.1,Getting Information,IM,4.56,29,0.1559,4.2369,4.8756,N,n/a,08/2023,Incumbent
11-1011.00,4.A.1.a.1,Getting Information,LV,4.89,30,0.1727,4.5393,5.2458,N,N,08/2023,Incumbent
11-1011.00,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",IM,4.25,30,0.2125,3.8130,4.6823,N,n/a,08/2023,Incumbent
11-1011.00,4.A.1.a.2,"Monitoring Processes, Materials, or Surroundings",LV,5.21,30,0.3872,4.4133,5.9971,N,N,08/2023,Incumbent
11-1011.00,4.A.1.b.1,"Identifying Objects, Actions, and Events",IM,4.23,29,0.1544,3.9180,4.5507,N,n/a,08/2023,Incumbent
11-1011.00,4.A.1.b.1,"Identifying Objects, Actions, and Events",LV,5.13,29,0.1662,4.7899,5.4709,N,N,08/2023,Incumbent
11-1011.00,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",IM,2.51,29,0.2813,1.9346,3.0871,N,n/a,08/2023,Incumbent
11-1011.00,4.A.1.b.2,"Inspecting Equipment, Structures, or Materials",LV,2.23,30,0.4174,1.3738,3.0810,N,N,08/2023,Incumbent
11-1011.00,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",IM,3.26,30,0.2750,2.6958,3.8208,N,n/a,08/2023,Incumbent
11-1011.00,4.A.1.b.3,"Estimating the Quantifiable Characteristics of Products, Events, or Information",LV,3.08,30,0.3209,2.4190,3.7318,N,N,08/2023,Incumbent
11-1011.00,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",IM,4.18,29,0.1854,3.7985,4.5582,N,n/a,08/2023,Incumbent
11-1011.00,4.A.2.a.1,"Judging the Qualities of Objects, Services, or People",LV,4.43,30,0.2695,3.8740,4.9763,N,N,08/2023,Incumbent
11-1011.00,4.A.2.a.2,Processing Information,IM,4.46,30,0.1958,4.0630,4.8637,N,n/a,08/2023,Incumbent
11-1011.00,4.A.2.a.2,Processing Information,LV,4.98,28,0.3276,4.3107,5.6552,N,N,08/2023,Incumbent
11-1011.00,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,IM,4.49,30,0.1788,4.1194,4.8509,N,n/a,08/2023,Incumbent
11-1011.00,4.A.2.a.3,Evaluating Information to Determine Compliance with Standards,LV,4.85,29,0.3415,4.1471,5.5461,N,N,08/2023,Incumbent
11-1011.00,4.A.2.a.4,Analyzing Data or Information,IM,4.38,29,0.1936,3.9872,4.7803,N,n/a,08/2023,Incumbent
11-1011.00,4.A.2.a.4,Analyzing Data or Information,LV,4.84,29,0.1939,4.4400,5.2343,N,N,08/2023,Incumbent
11-1011.00,4.A.2.b.1,Making Decisions and Solving Problems,IM,4.85,30,0.0660,4.7182,4.9882,N,n/a,08/2023,Incumbent
11-1011.00,4.A.2.b.1,Making Decisions and Solving Problems,LV,6.00,29,0.3380,5.3048,6.6897,N,N,08/2023,Incumbent
11-1011.00,4.A.2.b.2,Thinking Creatively,IM,4.32,30,0.1898,3.9352,4.7114,N,n/a,08/2023,Incumbent
11-1011.00,4.A.2.b.2,Thinking Creatively,LV,4.45,29,0.3092,3.8181,5.0849,N,N,08/2023,Incumbent
11-1011.00,4.A.2.b.3,Updating and Using Relevant Knowledge,IM,4.31,30,0.1693,3.9632,4.6559,N,n/a,08/2023,Incumbent
11-1011.00,4.A.2.b.3,Updating and Using Relevant Knowledge,LV,5.09,29,0.3169,4.4438,5.7422,N,N,08/2023,Incumbent
11-1011.00,4.A.2.b.4,Developing Objectives and Strategies,IM,4.57,28,0.1592,4.2396,4.8928,N,n/a,08/2023,Incumbent
11-1011.00,4.A.2.b.4,Developing Objectives and Strategies,LV,5.46,28,0.2799,4.8904,6.0389,N,N,08/2023,Incumbent
11-1011.00,4.A.2.b.5,Scheduling Work and Activities,IM,3.83,28,0.2288,3.3563,4.2954,N,n/a,08/2023,Incumbent
11-1011.00,4.A.2.b.5,Scheduling Work and Activities,LV,4.41,28,0.3017,3.7885,5.0266,N,N,08/2023,Incumbent
11-1011.00,4.A.2.b.6,"Organizing, Planning, and Prioritizing Work",IM,4.53,28,0.1525,4.2145,4.8405,N,n/a,08/2023,Incumbent
